CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
60012.0,308,1,12.6,1,1,2,112,hibernating
60014.0,308,1,13.649999999999999,1,1,2,112,hibernating
60018.0,250,2,98.0,1,4,4,144,at risk
60021.0,155,8,149.732,3,5,4,354,loyal customers
60022.0,307,1,18.0,1,1,2,112,hibernating
60024.0,307,1,4.05,1,1,1,111,hibernating
60026.0,307,1,2.5,1,1,1,111,hibernating
60027.0,307,1,49.0,1,1,3,113,hibernating
60028.0,307,1,20.0,1,1,3,113,hibernating
60029.0,291,2,15.49,1,4,2,142,at risk
60030.0,307,1,18.0,1,1,2,112,hibernating
60031.0,307,1,8.99,1,1,1,111,hibernating
60035.0,307,1,4.95,1,1,1,111,hibernating
60037.0,256,4,670.74,1,5,5,155,can't loose
60038.0,307,1,4.9,1,1,1,111,hibernating
60040.0,307,1,17.0,1,1,2,112,hibernating
60041.0,307,1,2.99,1,1,1,111,hibernating
60042.0,307,1,4.99,1,1,1,111,hibernating
60043.0,307,1,12.99,1,1,2,112,hibernating
60044.0,307,1,10.0,1,1,2,112,hibernating
60045.0,307,1,13.33,1,1,2,112,hibernating
60046.0,307,1,13.7,1,1,2,112,hibernating
60047.0,307,1,1.9699,1,1,1,111,hibernating
60048.0,307,1,10.99,1,1,2,112,hibernating
60049.0,299,1,10.0,1,1,2,112,hibernating
60050.0,307,1,5.55,1,1,1,111,hibernating
60051.0,118,5,707.28,4,5,5,455,loyal customers
60052.0,225,4,260.82,2,5,5,255,can't loose
60053.0,225,8,1062.2150000000001,2,5,5,255,can't loose
60054.0,307,1,5.18,1,1,1,111,hibernating
60055.0,307,1,14.84,1,1,2,112,hibernating
60056.0,307,1,6.88,1,1,1,111,hibernating
60057.0,196,4,53.65,3,5,4,354,loyal customers
60058.0,307,1,18.65,1,1,2,112,hibernating
60060.0,307,1,13.99,1,1,2,112,hibernating
60062.0,76,5,37.97,5,5,3,553,champions
60063.0,226,5,492.79999999999995,2,5,5,255,can't loose
60064.0,307,1,45.45,1,1,3,113,hibernating
60066.0,307,1,5.199999999999999,1,1,1,111,hibernating
60068.0,299,3,47.25,1,5,3,153,can't loose
60070.0,307,1,29.3,1,1,3,113,hibernating
60071.0,307,1,14.5,1,1,2,112,hibernating
60073.0,307,1,18.93,1,1,2,112,hibernating
60075.0,307,1,8.33,1,1,1,111,hibernating
60076.0,307,1,2.99,1,1,1,111,hibernating
60079.0,307,1,15.62,1,1,2,112,hibernating
60080.0,307,1,5.0501,1,1,1,111,hibernating
